text,counts,file
5 days,2,020_1997.xml
20 days,3,020_1997.xml
6 years,5,020_1997.xml
10-day period,1,020_1997.xml
45-day period,4,020_1997.xml
120-day period,1,020_1997.xml
4 business days,1,020_1997.xml
6 months,4,020_1997.xml
2 years,4,020_1997.xml
12 months,6,020_1997.xml
18 years,1,020_1997.xml
5-year period,1,020_1997.xml
5-year time period,1,020_1997.xml
15 calendar days,4,020_1997.xml
15-day period,1,020_1997.xml
45 calendar days,2,020_1997.xml
25-day period,1,020_1997.xml
25 calendar days,2,020_1997.xml
10 calendar days,2,020_1997.xml
30 calendar days,3,020_1997.xml
4 year,3,020_1997.xml
7 calendar days,2,020_1997.xml
5 calendar days,3,020_1997.xml
60 years,1,020_1997.xml
41 years,1,020_1997.xml
1 year,17,020_1997.xml
18 months,1,020_1997.xml
45 days,3,020_1997.xml
9 months,1,020_1997.xml
3 months,1,020_1997.xml
4 months,1,020_1997.xml
4-year period,1,020_1997.xml
3 days,2,020_1998.xml
7 days,1,020_1998.xml
5 years,10,020_1998.xml
60 days,14,020_1998.xml
3 years,7,020_1998.xml
60-day period,4,020_1998.xml
180 days,8,020_1998.xml
120 days,2,020_1998.xml
12-month period,3,020_1998.xml
90 days,11,020_1998.xml
30 days,19,020_1998.xml
10 years,5,020_1998.xml
4 years,5,020_1998.xml
2-year period,1,020_1998.xml
7 years,2,020_1998.xml
10 days,11,020_1998.xml
15 days,6,020_1998.xml
5 days,2,020_1998.xml
20 days,3,020_1998.xml
6 years,5,020_1998.xml
10-day period,1,020_1998.xml
45-day period,4,020_1998.xml
120-day period,1,020_1998.xml
4 business days,1,020_1998.xml
6 months,4,020_1998.xml
2 years,4,020_1998.xml
12 months,6,020_1998.xml
18 years,1,020_1998.xml
5-year period,1,020_1998.xml
5-year time period,1,020_1998.xml
15 calendar days,4,020_1998.xml
15-day period,1,020_1998.xml
45 calendar days,2,020_1998.xml
25-day period,1,020_1998.xml
25 calendar days,2,020_1998.xml
10 calendar days,2,020_1998.xml
30 calendar days,3,020_1998.xml
4 year,3,020_1998.xml
7 calendar days,2,020_1998.xml
5 calendar days,3,020_1998.xml
60 years,1,020_1998.xml
41 years,1,020_1998.xml
1 year,17,020_1998.xml
18 months,1,020_1998.xml
45 days,3,020_1998.xml
9 months,1,020_1998.xml
3 months,1,020_1998.xml
4 months,1,020_1998.xml
4-year period,1,020_1998.xml
3 days,2,020_1999.xml
7 days,1,020_1999.xml
5 years,10,020_1999.xml
60 days,14,020_1999.xml
3 years,7,020_1999.xml
60-day period,4,020_1999.xml
180 days,8,020_1999.xml
120 days,2,020_1999.xml
12-month period,3,020_1999.xml
90 days,11,020_1999.xml
30 days,19,020_1999.xml
10 years,5,020_1999.xml
4 years,5,020_1999.xml
2-year period,1,020_1999.xml
7 years,2,020_1999.xml
10 days,11,020_1999.xml
15 days,6,020_1999.xml
5 days,2,020_1999.xml
20 days,3,020_1999.xml
6 years,5,020_1999.xml
10-day period,1,020_1999.xml
45-day period,4,020_1999.xml
30-day period,1,020_1999.xml
120-day period,1,020_1999.xml
4 business days,1,020_1999.xml
6 months,4,020_1999.xml
2 years,4,020_1999.xml
12 months,6,020_1999.xml
18 years,1,020_1999.xml
5-year period,1,020_1999.xml
5-year time period,1,020_1999.xml
