text,counts,file
(e)(1),1,010_2010.xml
(2)(A),1,010_2010.xml
(i),1,010_2010.xml
(ii),1,010_2010.xml
(f),1,010_2010.xml
(e),1,010_2010.xml
(a),6,010_2011.xml
(b),6,010_2011.xml
(c),6,010_2011.xml
(1),1,010_2011.xml
(2),2,010_2011.xml
(A),2,010_2011.xml
(B),3,010_2011.xml
(C),1,010_2011.xml
(D),1,010_2011.xml
(3),1,010_2011.xml
(d),2,010_2011.xml
(d)(1),1,010_2011.xml
(e)(1),1,010_2011.xml
(2)(A),1,010_2011.xml
(i),1,010_2011.xml
(ii),1,010_2011.xml
(f),1,010_2011.xml
(e),1,010_2011.xml
(a),6,010_2012.xml
(b),6,010_2012.xml
(c),6,010_2012.xml
(1),1,010_2012.xml
(2),2,010_2012.xml
(A),2,010_2012.xml
(B),3,010_2012.xml
(C),1,010_2012.xml
(D),1,010_2012.xml
(3),1,010_2012.xml
(d),2,010_2012.xml
(d)(1),1,010_2012.xml
(e)(1),1,010_2012.xml
(2)(A),1,010_2012.xml
(i),1,010_2012.xml
(ii),1,010_2012.xml
(f),1,010_2012.xml
(e),1,010_2012.xml
(a),6,010_2013.xml
(b),6,010_2013.xml
(c),6,010_2013.xml
(1),1,010_2013.xml
(2),2,010_2013.xml
(A),2,010_2013.xml
(B),3,010_2013.xml
(C),1,010_2013.xml
(D),1,010_2013.xml
(3),1,010_2013.xml
(d),2,010_2013.xml
(d)(1),1,010_2013.xml
(e)(1),1,010_2013.xml
(2)(A),1,010_2013.xml
(i),1,010_2013.xml
(ii),1,010_2013.xml
(f),1,010_2013.xml
(e),1,010_2013.xml
(a),6,010_2014.xml
(b),6,010_2014.xml
(c),6,010_2014.xml
(1),1,010_2014.xml
(2),2,010_2014.xml
(A),2,010_2014.xml
(B),3,010_2014.xml
(C),1,010_2014.xml
(D),1,010_2014.xml
(3),1,010_2014.xml
(d),2,010_2014.xml
(d)(1),1,010_2014.xml
(e)(1),1,010_2014.xml
(2)(A),1,010_2014.xml
(i),1,010_2014.xml
(ii),1,010_2014.xml
(f),1,010_2014.xml
(e),1,010_2014.xml
(a),6,010_2015.xml
(b),6,010_2015.xml
(c),6,010_2015.xml
(1),1,010_2015.xml
(2),2,010_2015.xml
(A),2,010_2015.xml
(B),3,010_2015.xml
(C),1,010_2015.xml
(D),1,010_2015.xml
(3),1,010_2015.xml
(d),2,010_2015.xml
(d)(1),1,010_2015.xml
(e)(1),1,010_2015.xml
(2)(A),1,010_2015.xml
(i),1,010_2015.xml
(ii),1,010_2015.xml
(f),1,010_2015.xml
(e),1,010_2015.xml
(a),6,010_2016.xml
(b),6,010_2016.xml
(c),6,010_2016.xml
(1),1,010_2016.xml
(2),2,010_2016.xml
(A),2,010_2016.xml
(B),3,010_2016.xml
(C),1,010_2016.xml
(D),1,010_2016.xml
(3),1,010_2016.xml
(d),2,010_2016.xml
(d)(1),1,010_2016.xml
(e)(1),1,010_2016.xml
(2)(A),1,010_2016.xml
(i),1,010_2016.xml
(ii),1,010_2016.xml
(f),1,010_2016.xml
(e),1,010_2016.xml
(a),6,010_2017.xml
(b),6,010_2017.xml
(c),6,010_2017.xml
(1),1,010_2017.xml
(2),2,010_2017.xml
(A),2,010_2017.xml
(B),3,010_2017.xml
(C),1,010_2017.xml
(D),1,010_2017.xml
(3),1,010_2017.xml
(d),2,010_2017.xml
(d)(1),1,010_2017.xml
(e)(1),1,010_2017.xml
(2)(A),1,010_2017.xml
(i),1,010_2017.xml
(ii),1,010_2017.xml
(f),1,010_2017.xml
(e),1,010_2017.xml
(a),6,010_2018.xml
(b),6,010_2018.xml
(c),6,010_2018.xml
(1),1,010_2018.xml
(2),2,010_2018.xml
(A),2,010_2018.xml
(B),3,010_2018.xml
(C),1,010_2018.xml
(D),1,010_2018.xml
(3),1,010_2018.xml
(d),2,010_2018.xml
(d)(1),1,010_2018.xml
(e)(1),1,010_2018.xml
(2)(A),1,010_2018.xml
(i),1,010_2018.xml
(ii),1,010_2018.xml
(f),1,010_2018.xml
(e),1,010_2018.xml
(a),6,010_2019.xml
(b),6,010_2019.xml
(c),6,010_2019.xml
(1),1,010_2019.xml
(2),2,010_2019.xml
(A),2,010_2019.xml
(B),3,010_2019.xml
(C),1,010_2019.xml
(D),1,010_2019.xml
(3),1,010_2019.xml
(d),2,010_2019.xml
(d)(1),1,010_2019.xml
(e)(1),1,010_2019.xml
(2)(A),1,010_2019.xml
(i),1,010_2019.xml
(ii),1,010_2019.xml
(f),1,010_2019.xml
(e),1,010_2019.xml
(a),75,020_1994.xml
(b),70,020_1994.xml
(c),21,020_1994.xml
(1),383,020_1994.xml
(2),387,020_1994.xml
(3),203,020_1994.xml
(4),110,020_1994.xml
(5),71,020_1994.xml
(6),38,020_1994.xml
(7),33,020_1994.xml
(8),20,020_1994.xml
(9),14,020_1994.xml
(10),12,020_1994.xml
(11),9,020_1994.xml
(12),7,020_1994.xml
(13),7,020_1994.xml
(14),6,020_1994.xml
(15),5,020_1994.xml
(16),5,020_1994.xml
(17),5,020_1994.xml
(18),5,020_1994.xml
(19),5,020_1994.xml
(20),3,020_1994.xml
(21),3,020_1994.xml
(22),2,020_1994.xml
(23),2,020_1994.xml
(24),1,020_1994.xml
(25),1,020_1994.xml
(26),1,020_1994.xml
(27),1,020_1994.xml
(28),1,020_1994.xml
(29),1,020_1994.xml
(30),1,020_1994.xml
(1)(A),7,020_1994.xml
(B),224,020_1994.xml
(i),64,020_1994.xml
(ii),70,020_1994.xml
(d),11,020_1994.xml
(e)(1)(B),2,020_1994.xml
(A),182,020_1994.xml
(C),103,020_1994.xml
(D),45,020_1994.xml
(2)(A),12,020_1994.xml
(5)(A),4,020_1994.xml
(b)(1),8,020_1994.xml
(3)[(A),1,020_1994.xml
(iii),39,020_1994.xml
(iv),19,020_1994.xml
(I),16,020_1994.xml
(II),17,020_1994.xml
(3)(A),6,020_1994.xml
(f),2,020_1994.xml
(e),5,020_1994.xml
(ii)(I),4,020_1994.xml
(III),3,020_1994.xml
(a)(1),4,020_1994.xml
(E),21,020_1994.xml
(P),2,020_1994.xml
(F),9,020_1994.xml
(G),6,020_1994.xml
(H),5,020_1994.xml
(J),2,020_1994.xml
(K),2,020_1994.xml
(L),1,020_1994.xml
(M),1,020_1994.xml
(N),1,020_1994.xml
(O),1,020_1994.xml
(HS),4,020_1994.xml
(HWS),4,020_1994.xml
(8)(A),4,020_1994.xml
(C)(i),3,020_1994.xml
(B)(i),6,020_1994.xml
(4)(A),2,020_1994.xml
(3)(A)(i),1,020_1994.xml
(g),1,020_1994.xml
(h),1,020_1994.xml
(v),9,020_1994.xml
(vi),4,020_1994.xml
(vii),4,020_1994.xml
(viii),4,020_1994.xml
(ix),4,020_1994.xml
(x),4,020_1994.xml
(xi),2,020_1994.xml
(xii),2,020_1994.xml
(xiii),2,020_1994.xml
(xiv),2,020_1994.xml
(9)(A),2,020_1994.xml
(A)(i),2,020_1994.xml
(6)(A),4,020_1994.xml
(4)(A)(i),1,020_1994.xml
(12)(A),1,020_1994.xml
(i)(I),1,020_1994.xml
(cumulatively),3,020_1994.xml
(36-8132-0-7-701),1,020_1994.xml
(36-4012-0-3-701),1,020_1994.xml
(36-8455-0-8-701),1,020_1994.xml
(36-4010-0-3-701),1,020_1994.xml
(36-8150-0-7-701),1,020_1994.xml
(36-0120-0-1-701),1,020_1994.xml
(36-4048-0-3-703),1,020_1994.xml
(36-4014-0-3-705),1,020_1994.xml
(36-0137-0-1-702),2,020_1994.xml
(36-0155-0-1-701),1,020_1994.xml
(36-0153-0-1-701),1,020_1994.xml
(36-0154-0-1-701),1,020_1994.xml
(14-0412-0-1-806),1,020_1994.xml
(26-8141-0-7-602),1,020_1994.xml
(89-0304-0-1-271),1,020_1994.xml
(1974),1,020_1994.xml
(89-4045-0-3-271),1,020_1994.xml
(14-2303-0-1-452),1,020_1994.xml
(14-9973-0-7-999),1,020_1994.xml
(97-0102-0-1-051),1,020_1994.xml
(20-1895-0-1-806),1,020_1994.xml
(20-5811-0-2-803),1,020_1994.xml
(11-0001-0-1-802),1,020_1994.xml
(20-9922-0-2-852),1,020_1994.xml
(60-0111-0-1-601),1,020_1994.xml
